ts,open,high,low,close,volume
1769073840,89956.3,89956.3,89956.2,89956.3,1.544
1769073900,89956.3,89956.3,89930.4,89934.1,13.069
1769073960,89934.1,89952.5,89930.9,89949.0,29.072
1769074020,89949.0,89979.0,89949.0,89979.0,16.302
1769074080,89979.0,89979.0,89927.8,89927.8,10.764
1769074140,89927.8,89948.0,89927.7,89947.9,6.28
1769074200,89947.9,89993.0,89947.9,89993.0,10.095
1769074260,89993.0,90000.0,89957.3,89957.3,23.303
1769074320,89957.3,89957.4,89907.0,89917.7,7.571
1769074380,89917.7,89949.9,89893.1,89920.9,15.839
1769074440,89920.9,89960.7,89920.8,89960.6,10.059
1769074500,89960.6,90031.9,89952.0,90031.9,12.717
1769074560,90031.9,90074.4,90013.7,90068.7,53.812
1769074620,90068.7,90068.8,90030.7,90042.3,20.571
1769074680,90042.3,90083.0,90042.2,90065.2,15.481
1769074740,90065.2,90065.2,90045.3,90054.0,10.325
1769074800,90054.0,90074.0,90054.0,90074.0,5.904
1769074860,90074.0,90074.0,90065.0,90065.0,7.773
1769074920,90065.0,90065.1,90042.5,90042.6,6.323
1769074980,90042.6,90080.0,90042.5,90080.0,30.941
1769075040,90080.0,90080.0,90057.4,90057.4,6.199
1769075100,90057.4,90071.4,90057.3,90060.3,3.287
1769075160,90060.3,90060.3,90034.3,90034.3,10.081
1769075220,90034.3,90066.6,90034.2,90056.5,21.793
1769075280,90056.5,90056.5,90027.8,90027.9,11.37
1769075340,90027.9,90071.5,90027.8,90068.6,22.635
1769075400,90068.6,90068.6,90055.8,90055.8,1.207
1769075460,90055.8,90067.9,90015.4,90015.4,9.563
1769075520,90015.4,90015.5,89999.1,89999.1,9.067
1769075580,89999.1,89999.4,89985.5,89985.5,2.915
1769075640,89985.5,90009.5,89979.9,90009.5,11.449
1769075700,90009.5,90009.5,89990.0,89990.1,2.919
1769075760,89990.1,89990.1,89975.9,89983.0,6.856
1769075820,89983.0,89985.6,89981.4,89981.5,2.679
1769075880,89981.5,89981.5,89972.7,89972.7,9.351
1769075940,89972.7,89988.8,89967.6,89988.8,6.187
1769076000,89988.8,90014.3,89983.0,89998.0,10.028
1769076060,89998.0,89998.0,89938.7,89953.4,10.544
1769076120,89953.4,89973.2,89929.0,89933.6,24.388
1769076180,89933.6,89943.7,89908.2,89930.0,14.556
1769076240,89930.0,89951.2,89909.1,89951.2,34.07
1769076300,89951.2,89951.2,89923.2,89939.6,12.313
1769076360,89939.6,89964.7,89909.9,89962.0,34.296
1769076420,89962.0,89975.3,89956.3,89975.2,12.503
1769076480,89975.2,89991.5,89969.0,89980.1,8.713
1769076540,89980.1,89992.0,89971.6,89991.7,11.038
1769076600,89991.7,90012.8,89991.6,90005.2,10.601
1769076660,90005.2,90014.1,89990.9,90005.1,9.695
1769076720,90005.1,90011.5,89942.2,89942.2,17.673
1769076780,89942.2,90004.7,89934.0,89991.5,28.363
1769076840,89991.5,90010.5,89969.8,89994.7,10.035
1769076900,89994.7,90007.5,89962.6,89962.7,17.805
1769076960,89962.7,89982.8,89925.2,89982.8,12.891
1769077020,89982.8,90017.7,89982.8,90009.2,13.33
1769077080,90009.2,90009.2,89968.3,89979.6,28.94
1769077140,89979.6,89996.3,89950.0,89953.8,8.817
1769077200,89953.8,89991.6,89945.9,89991.6,6.538
1769077260,89991.6,90054.8,89991.6,90015.2,70.53
1769077320,90015.2,90035.6,90004.3,90004.4,16.188
1769077380,90004.4,90030.2,90004.3,90008.3,9.607
1769077440,90008.3,90011.9,89985.8,89996.8,10.925
1769077500,89996.8,90028.9,89988.0,90010.5,11.764
1769077560,90010.5,90022.1,90005.5,90014.3,13.87
1769077620,90014.3,90014.4,89989.8,90001.4,11.012
1769077680,90001.4,90008.0,89986.6,90007.9,14.116
1769077740,90007.9,90007.9,89980.0,89980.1,6.18
1769077800,89980.1,90013.6,89965.4,90013.5,10.98
1769077860,90013.5,90013.6,89987.3,89987.4,7.011
1769077920,89987.4,90022.4,89963.2,90022.4,15.564
1769077980,90022.4,90022.4,89980.4,89995.9,6.903
1769078040,89995.9,90020.4,89960.0,90020.4,11.54
1769078100,90020.4,90025.6,89990.8,89991.7,42.109
1769078160,89991.7,90009.8,89991.7,90009.7,2.795
1769078220,90009.7,90009.8,89973.8,90004.2,5.447
1769078280,90004.2,90011.8,89995.1,90011.7,8.556
1769078340,90011.7,90011.7,89962.1,89979.5,17.666
1769078400,89979.5,89993.0,89979.4,89981.0,4.668
1769078460,89981.0,90000.0,89973.0,89973.1,5.409
1769078520,89973.1,89993.3,89973.0,89987.0,2.873
1769078580,89987.0,89993.3,89972.3,89982.7,7.532
1769078640,89982.7,90022.2,89979.9,89998.4,10.754
1769078700,89998.4,90017.8,89991.0,90017.7,7.178
1769078760,90017.7,90019.2,89991.0,89991.0,7.129
1769078820,89991.0,90026.0,89966.5,90025.9,9.491
1769078880,90025.9,90025.9,89996.2,90002.9,13.062
1769078940,90002.9,90012.3,90002.9,90009.1,2.767
1769079000,90009.1,90009.1,89998.0,90006.5,3.685
1769079060,90006.5,90025.9,90000.0,90025.8,7.88
1769079120,90025.8,90026.0,90014.1,90014.2,4.903
1769079180,90014.2,90045.1,90010.6,90045.1,9.241
1769079240,90045.1,90072.0,90045.1,90062.2,15.201
1769079300,90062.2,90062.3,90023.2,90023.3,7.056
1769079360,90023.3,90040.0,90023.2,90039.9,7.921
1769079420,90039.9,90050.0,90032.9,90034.3,20.447
1769079480,90034.3,90048.9,90034.3,90043.2,5.787
1769079540,90043.2,90052.3,90023.7,90023.7,7.601
1769079600,90023.7,90023.7,89990.8,90006.7,17.326
1769079660,90006.7,90006.7,90006.6,90006.7,3.104
1769079720,90006.7,90037.6,90006.6,90037.6,14.243
1769079780,90037.6,90037.6,90037.5,90037.5,2.159
1769079840,90037.5,90037.6,89982.7,89999.1,25.862
1769079900,89999.1,90045.0,89999.0,90020.2,14.193
1769079960,90020.2,90021.6,89992.4,89992.5,5.866
1769080020,89992.5,89997.1,89988.3,89996.9,3.324
1769080080,89996.9,90036.1,89996.9,90015.8,16.033
1769080140,90015.8,90043.0,90015.7,90043.0,2.395
1769080200,90043.0,90084.0,90034.9,90083.9,10.729
1769080260,90083.9,90100.0,90070.6,90088.9,27.993
1769080320,90088.9,90088.9,90034.6,90034.7,30.182
1769080380,90034.7,90034.7,89895.7,89895.8,72.498
1769080440,89895.8,89945.5,89884.4,89941.9,30.184
1769080500,89941.9,89941.9,89898.9,89905.5,17.145
1769080560,89905.5,89969.9,89884.7,89969.9,20.551
1769080620,89969.9,89979.1,89922.9,89960.4,32.765
1769080680,89960.4,89986.5,89946.9,89986.4,12.552
1769080740,89986.4,89986.4,89958.6,89973.4,10.731
1769080800,89973.4,89989.5,89958.6,89989.0,8.184
1769080860,89989.0,89989.0,89903.4,89903.4,12.997
1769080920,89903.4,89918.0,89903.4,89916.6,11.442
1769080980,89916.6,89947.7,89916.6,89925.3,17.516
1769081040,89925.3,89941.3,89905.6,89926.7,37.665
1769081100,89926.7,89937.6,89859.3,89903.9,27.7
1769081160,89903.9,89903.9,89861.2,89861.3,8.178
1769081220,89861.3,89898.5,89860.6,89898.4,16.142
1769081280,89898.4,89930.9,89898.4,89903.2,8.142
1769081340,89903.2,89903.3,89898.7,89898.7,2.181
1769081400,89898.7,89941.4,89894.2,89941.4,16.031
1769081460,89941.4,89972.4,89910.0,89933.3,40.456
1769081520,89933.3,89975.7,89933.3,89963.1,9.287
1769081580,89963.1,89965.0,89942.2,89942.3,5.729
1769081640,89942.3,89975.7,89942.3,89971.4,6.856
1769081700,89971.4,89976.6,89865.0,89870.8,24.524
1769081760,89870.8,89896.2,89860.0,89879.0,21.487
1769081820,89879.0,89921.0,89873.8,89900.9,6.265
1769081880,89900.9,89912.0,89882.2,89882.3,9.704
1769081940,89882.3,89909.5,89882.2,89909.0,15.747
1769082000,89909.0,89918.1,89882.7,89884.1,51.491
1769082060,89884.1,89906.3,89882.8,89882.9,8.884
1769082120,89882.9,89901.6,89850.0,89872.0,29.559
1769082180,89872.0,89947.2,89855.5,89947.2,22.587
1769082240,89947.2,89991.1,89931.3,89934.5,22.362
1769082300,89934.5,89985.2,89924.2,89977.6,12.46
1769082360,89977.6,89991.6,89964.0,89991.6,13.676
1769082420,89991.6,90032.2,89991.5,90032.2,28.254
1769082480,90032.2,90038.0,89996.9,90024.2,31.148
1769082540,90024.2,90032.3,89996.9,90010.5,11.08
1769082600,90010.5,90037.1,90010.5,90029.1,6.43
1769082660,90029.1,90029.1,89962.2,89973.5,22.179
1769082720,89973.5,89973.5,89924.3,89924.4,12.562
1769082780,89924.4,89924.4,89858.2,89884.8,25.836
1769082840,89884.8,89904.3,89864.4,89868.9,19.102
1769082900,89868.9,89895.7,89868.9,89895.7,9.448
1769082960,89895.7,89895.7,89886.9,89886.9,3.71
1769083020,89886.9,89901.3,89886.9,89901.3,4.779
1769083080,89901.3,89901.3,89892.2,89892.2,6.831
1769083140,89892.2,89911.7,89889.9,89895.0,34.086
1769083200,89895.0,89919.4,89858.2,89871.3,43.462
1769083260,89871.3,89888.0,89860.0,89867.3,15.916
1769083320,89867.3,89867.3,89822.9,89822.9,16.655
1769083380,89822.9,89921.8,89822.9,89921.8,22.222
1769083440,89921.8,89946.2,89897.3,89939.8,9.688
1769083500,89939.8,89942.8,89910.0,89926.4,22.684
1769083560,89926.4,89984.2,89926.4,89984.2,6.565
1769083620,89984.2,90000.0,89968.6,89968.7,15.664
1769083680,89968.7,89995.8,89968.6,89982.7,16.367
1769083740,89982.7,90000.0,89979.6,89991.5,10.265
1769083800,89991.5,89999.0,89964.2,89999.0,10.663
1769083860,89999.0,90000.0,89942.3,89945.9,15.469
1769083920,89945.9,89950.0,89918.5,89949.9,11.596
1769083980,89949.9,89958.9,89949.9,89958.9,4.441
1769084040,89958.9,89958.9,89958.8,89958.9,0.51
1769084100,89958.9,90000.0,89943.2,89991.0,8.774
1769084160,89991.0,89999.0,89982.0,89989.9,3.154
1769084220,89989.9,89989.9,89945.6,89945.7,9.039
1769084280,89945.7,89964.8,89936.9,89944.1,7.599
1769084340,89944.1,89958.2,89944.1,89957.7,0.948
1769084400,89957.7,89969.3,89957.6,89969.3,1.267
1769084460,89969.3,89991.0,89965.3,89974.5,6.167
1769084520,89974.5,89982.5,89964.0,89980.9,13.052
1769084580,89980.9,89980.9,89955.8,89956.2,4.241
1769084640,89956.2,89963.0,89932.4,89959.7,18.285
1769084700,89959.7,89959.7,89931.9,89932.0,6.146
1769084760,89932.0,89957.4,89931.9,89953.5,7.5
1769084820,89953.5,89953.6,89950.0,89950.9,0.794
1769084880,89950.9,89979.3,89950.9,89970.4,13.976
1769084940,89970.4,89982.4,89970.3,89975.0,21.422
1769085000,89975.0,89986.6,89975.0,89979.3,9.145
1769085060,89979.3,89986.7,89952.5,89986.7,12.504
1769085120,89986.7,90019.9,89986.6,89996.8,12.061
1769085180,89996.8,90040.9,89996.7,90021.6,24.803
1769085240,90021.6,90044.7,90008.3,90008.4,12.909
1769085300,90008.4,90009.5,89988.9,89989.0,3.95
1769085360,89989.0,90024.1,89988.9,89994.4,11.862
1769085420,89994.4,90041.4,89989.0,90041.4,10.861
1769085480,90041.4,90061.0,89994.4,89994.5,18.22
1769085540,89994.5,89994.5,89969.6,89982.8,8.843
1769085600,89982.8,89990.7,89952.6,89979.7,34.992
1769085660,89979.7,89979.7,89935.2,89950.0,16.973
1769085720,89950.0,89974.9,89950.0,89969.4,7.482
1769085780,89969.4,89995.0,89968.1,89995.0,3.919
1769085840,89995.0,89995.0,89982.3,89982.4,5.8
1769085900,89982.4,89994.9,89961.6,89994.9,20.204
1769085960,89994.9,90008.8,89973.4,89973.4,11.431
1769086020,89973.4,90001.9,89970.6,89996.0,5.802
1769086080,89996.0,89996.0,89966.5,89986.6,16.193
1769086140,89986.6,90001.9,89982.9,90001.8,2.327
1769086200,90001.8,90012.6,89995.1,89995.1,8.18
1769086260,89995.1,90008.6,89966.4,89966.4,5.998
1769086320,89966.4,89972.9,89935.0,89972.8,18.011
1769086380,89972.8,89982.7,89950.1,89950.1,8.335
1769086440,89950.1,89958.0,89930.1,89955.0,6.503
1769086500,89955.0,89967.1,89945.4,89965.0,3.785
1769086560,89965.0,89965.0,89964.9,89964.9,0.626
1769086620,89964.9,89975.1,89952.4,89975.1,19.81
1769086680,89975.1,90000.0,89975.0,89994.1,8.02
1769086740,89994.1,89994.1,89968.5,89968.6,10.233
1769086800,89968.6,89994.2,89968.5,89994.2,11.937
1769086860,89994.2,90007.2,89970.9,89992.6,18.14
1769086920,89992.6,89997.8,89974.9,89997.8,6.393
1769086980,89997.8,89997.8,89953.3,89953.3,22.102
1769087040,89953.3,90007.2,89953.3,90007.2,32.09
1769087100,90007.2,90007.3,89976.5,89976.5,12.675
1769087160,89976.5,90002.6,89976.5,90002.6,14.409
1769087220,90002.6,90016.1,89985.6,89985.6,10.667
1769087280,89985.6,90006.3,89982.7,90006.2,3.489
1769087340,90006.2,90006.2,89942.9,89942.9,10.654
1769087400,89942.9,89973.5,89942.9,89973.4,12.475
1769087460,89973.4,89973.5,89959.3,89973.5,5.462
1769087520,89973.5,89987.8,89960.6,89987.7,11.107
1769087580,89987.7,90018.4,89987.7,90007.8,17.919
1769087640,90007.8,90007.9,90007.7,90007.7,5.884
1769087700,90007.7,90052.7,90007.7,90052.7,29.999
1769087760,90052.7,90060.1,90033.3,90060.1,19.377
1769087820,90060.1,90064.0,90008.0,90053.4,27.206
1769087880,90053.4,90053.4,90019.5,90035.3,6.142
1769087940,90035.3,90035.4,90007.8,90019.3,11.214
1769088000,90019.3,90047.9,90019.3,90025.2,9.567
1769088060,90025.2,90050.8,90025.1,90050.8,7.309
1769088120,90050.8,90054.5,90046.8,90046.9,3.71
1769088180,90046.9,90060.0,90044.0,90047.3,21.097
1769088240,90047.3,90082.8,90047.3,90070.1,19.896
1769088300,90070.1,90099.0,90070.1,90098.9,28.462
1769088360,90098.9,90129.8,90071.7,90090.0,355.961
1769088420,90090.0,90094.0,90067.5,90089.4,52.3
1769088480,90089.4,90149.0,90089.4,90146.1,67.995
1769088540,90146.1,90146.2,90134.0,90134.1,47.113
1769088600,90134.1,90296.8,90076.0,90255.2,511.16
1769088660,90255.2,90255.2,90050.0,90050.0,143.873
1769088720,90050.0,90085.4,89990.0,90009.6,145.252
1769088780,90009.6,90015.5,89855.0,89870.4,309.682
1769088840,89870.4,89950.2,89870.3,89919.0,103.19
1769088900,89919.0,89927.3,89889.0,89907.8,38.61
1769088960,89907.8,89907.8,89689.5,89701.2,226.933
